Campaign,Date,Historical Reach,Ad Spend,Engagement Rate,Competitor Ad Spend,Seasonality Factor,Repeat Customer Rate,Campaign Risk
Summer Sale,2023-07-15,29143,21182.63,0.64,23531.74,1.1,0.26,44.76
Holiday Special,2023-11-28,56514,47651.36,0.45,54455.84,1.0,0.44,46.53
Back to School,2023-08-20,62059,70399.79,0.61,62921.60,0.9,0.19,38.23
Black Friday,2023-11-24,54907,43580.46,0.52,43415.34,0.9,0.22,41.95
Spring Launch,2023-03-22,49274,71159.54,0.50,67522.98,1.1,0.20,53.47
Winter Collection,2023-12-10,42836,42109.26,0.34,50354.44,1.1,0.32,46.92
Anniversary Promo,2023-05-01,27059,24813.70,0.29,26093.14,1.0,0.37,44.88
Flash Sale,2023-09-09,50693,68047.37,0.44,71005.67,0.8,0.45,50.29
Loyalty Program,2023-06-10,54172,27959.75,0.72,31239.92,0.9,0.54,50.08
New Product,2023-02-15,41995,44278.82,0.53,32153.28,0.9,0.26,37.42
Digital Campaign,2023-07-20,52552,57448.63,0.30,52052.69,1.0,0.37,49.47
Influencer Collab,2023-08-09,29140,17656.17,0.68,18220.36,1.1,0.25,51.86
Email Marketing,2023-04-29,29154,19564.72,0.41,19817.49,0.8,0.50,39.56
Social Media Push,2023-09-18,20221,28417.41,0.25,36663.53,0.9,0.33,50.79
TV Campaign,2023-10-08,35723,43977.62,0.35,32878.53,0.9,0.18,41.76
